RANK,COMPANY,EXECUTIVE NAME,NET WORTH,COUNTRY
1,"Tesla, SpaceX",Elon Musk,212300000000.0,United States
2,Amazon,Jeff Bezos,203500000000.0,United States
3,LVMH,Bernard Arnault & family,194300000000.0,France
4,Facebook,Mark Zuckerberg,175900000000.0,United States
5,Oracle,Larry Ellison,174100000000.0,United States
6,Google,Larry Page,145800000000.0,United States
7,Google,Sergey Brin,139600000000.0,United States
8,Berkshire Hathaway,Warren Buffett,134800000000.00002,United States
9,Microsoft,Bill Gates,133500000000.0,United States
10,Microsoft,Steve Ballmer,130400000000.0,United States
11,Zara,Amancio Ortega,114800000000.0,Spain
12,Diversified,Mukesh Ambani,114800000000.0,India
13,Semiconductors,Jensen Huang,114500000000.0,United States
14,Dell Technologies,Michael Dell,111900000000.0,United States
15,Bloomberg LP,Michael Bloomberg,106200000000.0,United States
16,L'Oréal,Francoise Bettencourt Meyers & family,96300000000.0,France
17,Telecom,Carlos Slim Helu & family,92000000000.0,Mexico
18,"Infrastructure, commodities",Gautam Adani,86200000000.0,India
19,Walmart,Jim Walton & family,85900000000.0,United States
20,Walmart,Rob Walton & family,84700000000.0,United States
21,Walmart,Alice Walton,79700000000.0,United States
22,Media,David Thomson & family,70900000000.0,Canada
23,Koch Industries,Julia Koch & family,65700000000.0,United States
24,"Petrochemicals, energy",Prajogo Pangestu,60400000000.0,Indonesia
25,Cryptocurrency exchange,Changpeng Zhao,60200000000.0,Canada
26,"Beverages, pharmaceuticals",Zhong Shanshan,60000000000.0,China
27,Koch Industries,Charles Koch & family,59800000000.0,United States
28,E-commerce,Colin Huang,50800000000.0,China
29,TikTok,Zhang Yiming,43400000000.0,China
30,"Nutella, chocolates",Giovanni Ferrero,43000000000.0,Italy
31,Shipping,Klaus-Michael Kuehne,41800000000.0,Germany
32,Online games,Ma Huateng,40800000000.0,China
33,Steel,Savitri Jindal & family,40700000000.0,India
34,Nike,Phil Knight & family,39800000000.0,United States
35,Red Bull,Mark Mateschitz,38800000000.0,Austria
36,Investments,Stephen Schwarzman,38600000000.0,United States
37,Chanel,Alain Wertheimer,38600000000.0,France
37,Chanel,Gerard Wertheimer,38600000000.0,France
39,"Candy, pet food",John Mars,37800000000.0,United States
39,"Candy, pet food",Jacqueline Mars,37800000000.0,United States
41,Discount brokerage,Thomas Peterffy,37400000000.0,United States
42,Hedge funds,Ken Griffin,37200000000.0,United States
43,Fashion retail,Tadashi Yanai & family,37100000000.0,Japan
44,Retail,Dieter Schwarz,35900000000.0,Germany
45,Shipping,Gianluigi Aponte,35500000000.0,Switzerland
45,Shipping,Rafaela Aponte-Diamant,35500000000.0,Switzerland
47,Diversified,Li Ka-shing,35400000000.0,Hong Kong
48,Amazon,MacKenzie Scott,34700000000.0,United States
49,Fasteners,Reinhold Wuerth & family,33600000000.0,Germany
50,Software services,Shiv Nadar,33100000000.0,India
51,"Telecom, Investments",Masayoshi Son,32700000000.000004,Japan
52,Walmart,Lukas Walton,30800000000.0,United States
53,Mining,Gina Rinehart,30800000000.0,Australia
54,"Music, chemicals",Len Blavatnik,30200000000.0,United States
55,Casinos,Miriam Adelson & family,29600000000.0,United States
56,Fidelity Investments,Abigail Johnson,29500000000.0,United States
57,Mining,Germán Larrea Mota Velasco & family,29500000000.0,Mexico
58,Online games,William Ding,29300000000.0,China
59,Oil,Vagit Alekperov,28600000000.0,Russia
60,Mining,Iris Fontbona & family,28600000000.0,Chile
61,Quicken Loans,Daniel Gilbert,27900000000.0,United States
62,"Infrastructure, commodities",Vinod Adani,27900000000.0,Cyprus
63,Facebook,Eduardo Saverin,27700000000.0,Brazil
64,"Trading, investments",Jeff Yass,27600000000.0,United States
65,"Gas, chemicals",Leonid Mikhelson & family,27400000000.0,Russia
66,Real estate,Lee Shau Kee,27200000000.0,Hong Kong
67,Hospitals,Thomas Frist Jr & family,27100000000.0,United States
68,Financial software,Andrea Pignataro,27000000000.0,Italy
69,"Steel, transport",Vladimir Lisin,26600000000.0,Russia
70,Batteries,Robin Zeng,26500000000.0,Hong Kong
71,Luxury goods,François Pinault & family,25500000000.0,France
72,"Steel, investments",Alexey Mordashov & family,25500000000.0,Russia
73,Google,Eric Schmidt,25100000000.0,United States
74,Koch Industries,Elaine Marshall & family,25000000000.0,United States
75,"Real estate, shipping",Eyal Ofer,24700000000.0,Israel
76,E-commerce,Jack Ma,24600000000.0,China
77,Cheese,Emmanuel Besnier,24500000000.0,France
78,Pharmaceuticals,Dilip Shanghvi,24500000000.0,India
79,Oil,Autry Stephens,24300000000.0,United States
80,Home appliances,He Xiangjian & family,24100000000.0,China
81,Metals,Vladimir Potanin,23700000000.0,Russia
82,BMW,Stefan Quandt,23600000000.0,Germany
83,"Banking, tobacco",R. Budi Hartono,23600000000.0,Indonesia
84,"BMW, pharmaceuticals",Susanne Klatten,23500000000.0,Germany
85,"Oil, gas",Gennady Timchenko,23400000000.0,Russia
86,Home improvement stores,John Menard Jr,23300000000.0,United States
87,Commodities,Kumar Birla,23000000000.0,India
88,Coal,Low Tuck Kwong,22900000000.0,Indonesia
89,"Banking, tobacco",Michael Hartono,22700000000.0,Indonesia
90,Vaccines,Cyrus Poonawalla,21800000000.0,India
91,"Retail, investments",Radhakishan Damani,21600000000.0,India
92,Building supplies,Diane Hendricks,20900000000.0,United States
93,Sensors,Takemitsu Takizaki,20800000000.0,Japan
94,Hedge funds,David Tepper,20600000000.0,United States
95,Hedge funds,Steve Cohen,19800000000.0,United States
96,"Newspapers, TV network",Rupert Murdoch & family,19700000000.0,United States
97,H&M,Stefan Persson,19600000000.0,Sweden
98,Real estate,Kushal Pal Singh,19400000000.0,India
99,Shipping,Idan Ofer,19100000000.0,Israel
100,Banking,Vicky Safra & family,19100000000.0,Brazil
101,"Fertilizers, coal",Andrey Melnichenko & family,18700000000.0,Russia
102,"Batteries, automobiles",Wang Chuanfu,18600000000.0,China
103,Oil & gas,Harold Hamm & family,18500000000.0,United States
104,Google,Andreas von Bechtolsheim & family,18200000000.0,Germany
105,"Soft drinks, fast food",Ravi Jaipuria,18100000000.0,India
106,Real estate,Donald Bren,18000000000.0,United States
107,Hedge funds,Michael Platt,18000000000.0,United Kingdom
108,Semiconductors,Henry Samueli,17900000000.0,United States
109,"Finance, telecommunications",Renata Kellnerova & family,17700000000.0,Czech Republic
110,Pig breeding,Qin Yinglin,17500000000.0,China
111,Facebook,Dustin Moskovitz,17300000000.0,United States
112,Shipping,John Fredriksen,16899999999.999998,Cyprus
113,Real estate,Harry Triguboff,16500000000.0,Australia
114,Mining,Andrew Forrest & family,16500000000.0,Australia
115,Chemicals,James Ratcliffe,16200000000.0,United Kingdom
116,"Sports, real estate",Stanley Kroenke,16200000000.0,United States
117,WhatsApp,Jan Koum,16100000000.000002,United States
118,Beer,Jorge Paulo Lemann & family,15700000000.0,Brazil
119,Steel,Lakshmi Mittal,15600000000.0,India
120,Warehouse automation,Rick Cohen & family,15600000000.0,United States
121,Messaging app,Pavel Durov,15500000000.0,United Arab Emirates
122,Supermarkets,Beate Heister,15400000000.0,Germany
122,Supermarkets,Karl Albrecht Jr. & family,15400000000.0,Germany
124,Hedge funds,Ray Dalio,15400000000.0,United States
125,"Energy, sports, entertainment",Philip Anschutz,15200000000.0,United States
126,Google,David Cheriton,15100000000.0,Canada
127,Semiconductors,Henry Nicholas III,15100000000.0,United States
128,Walmart,Christy Walton,15000000000.0,United States
129,"Oil & gas, banking",George Kaiser,14900000000.0,United States
130,medical devices,Li Xiting,14900000000.0,Singapore
131,Smartphones,Lei Jun,14800000000.0,China
132,Private equity,Leon Black,14700000000.0,United States
133,"Automobiles, batteries",Lu Xiangyang,14600000000.0,China
134,"Apple, Disney",Laurene Powell Jobs & family,14500000000.0,United States
135,Heineken,Charlene de Carvalho-Heineken & family,14400000000.0,Netherlands
136,Hermes,Nicolas Puech,14400000000.0,France
137,Retail,David Green & family,14400000000.0,United States
138,Dallas Cowboys,Jerry Jones,14200000000.0,United States
139,Real estate,Mangal Prabhat Lodha,13900000000.0,India
140,Coal,Dang Yanbao,13900000000.0,China
141,Private equity,George Roberts,13700000000.0,United States
142,"Aldi, Trader Joe's",Theo Albrecht Jr & family,13600000000.0,Germany
143,"Steel, telecom, investments",Alisher Usmanov,13600000000.0,Russia
144,"Cement, sugar",Aliko Dangote,13600000000.0,Nigeria
145,Venture capital,John Doerr,13600000000.0,United States
146,Vacuums,James Dyson,13400000000.0,United Kingdom
147,"Oil, banking, telecom",Mikhail Fridman,13300000000.0,Russia
148,Electronics,Barry Lam,13300000000.0,Taiwan
149,Package delivery,Wang Wei,13200000000.0,China
150,Banking,Uday Kotak,13200000000.0,India
151,Real estate,Joseph Lau,13100000000.0,Hong Kong
152,Oil,Jeffery Hildebrand,12800000000.0,United States
153,Internet media,Zhang Zhidong,12800000000.0,China
154,Real estate,Peter Woo,12700000000.0,Hong Kong
155,Automobiles,Eric Li,12700000000.0,China
156,"Real estate, construction",Georg Stumpf,12500000000.0,Austria
157,Private equity,Henry Kravis,12500000000.0,United States
158,Electronics,Terry Gou,12500000000.0,Taiwan
159,Estee Lauder,Leonard Lauder,12400000000.0,United States
160,Diversified,Dhanin Chearavanont,12400000000.0,Thailand
161,Hedge funds,Israel Englander,12400000000.0,United States
162,Automobiles,Wei Jianjun & family,12300000000.0,China
163,Fashion retail,Anders Holch Povlsen,12300000000.0,Denmark
164,Luxury goods,Giorgio Armani,12300000000.0,Italy
165,Batteries,Huang Shilin,12200000000.0,China
166,Aluminum products,Zheng Shuliang & family,12200000000.0,China
167,Software,Hasso Plattner & family,12000000000.0,Germany
168,Fidelity,Edward Johnson IV,11900000000.0,United States
169,Business software,David Duffield,11900000000.0,United States
170,Auto parts,Shahid Khan,11900000000.0,United States
171,Software services,Azim Premji,11900000000.0,India
172,Computer hardware,John Tu,11800000000.0,United States
173,Computer hardware,David Sun,11800000000.0,United States
174,"Palm oil, shipping, property",Robert Kuok,11800000000.0,Malaysia
